timestamp,date,latitude,longitude
1565711349,"2019-08-13 15:49:09",38.871474,-77.097752
1565711355,"2019-08-13 15:49:15",38.871167,-77.098981
1565711360,"2019-08-13 15:49:20",38.870861,-77.100129
1565711366,"2019-08-13 15:49:26",38.870537,-77.101458
1565711372,"2019-08-13 15:49:32",38.870282,-77.102564
1565711378,"2019-08-13 15:49:38",38.870066,-77.103492
1565711384,"2019-08-13 15:49:44",38.8698,-77.104403
1565711390,"2019-08-13 15:49:50",38.869595,-77.10531
1565711395,"2019-08-13 15:49:55",38.869354,-77.106293
1565711401,"2019-08-13 15:50:01",38.869026,-77.107658
1565711407,"2019-08-13 15:50:07",38.868708,-77.108839
1565711412,"2019-08-13 15:50:12",38.868466,-77.109753
1565711417,"2019-08-13 15:50:17",38.868222,-77.110665
1565711423,"2019-08-13 15:50:23",38.868019,-77.111468
1565711440,"2019-08-13 15:50:40",38.867919,-77.111892
1565711445,"2019-08-13 15:50:45",38.867742,-77.112585
1565711450,"2019-08-13 15:50:50",38.867567,-77.113378
1565711456,"2019-08-13 15:50:56",38.867325,-77.114449
1565711461,"2019-08-13 15:51:01",38.867125,-77.11529
1565711466,"2019-08-13 15:51:06",38.86703,-77.115655
1565711493,"2019-08-13 15:51:33",38.866977,-77.116015
1565711499,"2019-08-13 15:51:39",38.866903,-77.116895
1565711504,"2019-08-13 15:51:44",38.866821,-77.117761
1565711510,"2019-08-13 15:51:50",38.866762,-77.118875
1565711516,"2019-08-13 15:51:56",38.866748,-77.11977
1565711522,"2019-08-13 15:52:02",38.866721,-77.120119
1565711538,"2019-08-13 15:52:18",38.866701,-77.120501
1565711543,"2019-08-13 15:52:23",38.866691,-77.121084
1565711549,"2019-08-13 15:52:29",38.866608,-77.12208
1565711555,"2019-08-13 15:52:35",38.866645,-77.123205
1565711560,"2019-08-13 15:52:40",38.86658,-77.124266
1565711566,"2019-08-13 15:52:46",38.866543,-77.125541
1565711572,"2019-08-13 15:52:52",38.866589,-77.126698
1565711577,"2019-08-13 15:52:57",38.866529,-77.12784
1565711582,"2019-08-13 15:53:02",38.866465,-77.128933
1565711588,"2019-08-13 15:53:08",38.866435,-77.13027
1565711594,"2019-08-13 15:53:14",38.866426,-77.131509
1565711599,"2019-08-13 15:53:19",38.866411,-77.132497
1565711605,"2019-08-13 15:53:25",38.866387,-77.133624
1565711610,"2019-08-13 15:53:30",38.866352,-77.134512
1565711615,"2019-08-13 15:53:35",38.866331,-77.135392
1565711620,"2019-08-13 15:53:40",38.86627,-77.136283
1565711626,"2019-08-13 15:53:46",38.866215,-77.137448
1565711632,"2019-08-13 15:53:52",38.866181,-77.138652
1565711638,"2019-08-13 15:53:58",38.866237,-77.139834
1565711643,"2019-08-13 15:54:03",38.866419,-77.140795
1565711648,"2019-08-13 15:54:08",38.866751,-77.141769
1565711654,"2019-08-13 15:54:14",38.867176,-77.143028
1565711660,"2019-08-13 15:54:20",38.867682,-77.14427
1565711666,"2019-08-13 15:54:26",38.868212,-77.145391
1565711672,"2019-08-13 15:54:32",38.868496,-77.146104
1565711781,"2019-08-13 15:56:21",38.868649,-77.146482
1565711786,"2019-08-13 15:56:26",38.868892,-77.147071
1565711792,"2019-08-13 15:56:32",38.869252,-77.14801
1565711797,"2019-08-13 15:56:37",38.869613,-77.148925
1565711802,"2019-08-13 15:56:42",38.869997,-77.149904
1565711808,"2019-08-13 15:56:48",38.870463,-77.151037
1565711814,"2019-08-13 15:56:54",38.870932,-77.1522
1565711819,"2019-08-13 15:56:59",38.871337,-77.153179
1565711824,"2019-08-13 15:57:04",38.871733,-77.154117
1565711830,"2019-08-13 15:57:10",38.872155,-77.155292
1565711836,"2019-08-13 15:57:16",38.872402,-77.156588
1565711842,"2019-08-13 15:57:22",38.87247,-77.157963
1565711848,"2019-08-13 15:57:28",38.87232,-77.159434
1565711853,"2019-08-13 15:57:33",38.872122,-77.160612
1565711859,"2019-08-13 15:57:39",38.871892,-77.161999
1565711864,"2019-08-13 15:57:44",38.871696,-77.163122
1565711870,"2019-08-13 15:57:50",38.871484,-77.164421
1565711876,"2019-08-13 15:57:56",38.871256,-77.165741
1565711881,"2019-08-13 15:58:01",38.871055,-77.166933
1565711887,"2019-08-13 15:58:07",38.870823,-77.168341
1565711892,"2019-08-13 15:58:12",38.870633,-77.169495
1565711898,"2019-08-13 15:58:18",38.870424,-77.170859
1565711904,"2019-08-13 15:58:24",38.870259,-77.17198
1565711910,"2019-08-13 15:58:30",38.870182,-77.172386
1565712001,"2019-08-13 16:00:01",38.870085,-77.172765
1565712006,"2019-08-13 16:00:06",38.869988,-77.173227
1565712012,"2019-08-13 16:00:12",38.869869,-77.173963
1565712018,"2019-08-13 16:00:18",38.869717,-77.174916
1565712023,"2019-08-13 16:00:23",38.86957,-77.175761
1565712029,"2019-08-13 16:00:29",38.869385,-77.176801
1565712035,"2019-08-13 16:00:35",38.869212,-77.177895
1565712041,"2019-08-13 16:00:41",38.869023,-77.178993
1565712047,"2019-08-13 16:00:47",38.86885,-77.180071
1565712053,"2019-08-13 16:00:53",38.868674,-77.181164
1565712059,"2019-08-13 16:00:59",38.868498,-77.18224
1565712064,"2019-08-13 16:01:04",38.868328,-77.183219
1565712069,"2019-08-13 16:01:09",38.868153,-77.184215
1565712075,"2019-08-13 16:01:15",38.867939,-77.185437
1565712081,"2019-08-13 16:01:21",38.867728,-77.186658
1565712087,"2019-08-13 16:01:27",38.867544,-77.187854
1565712093,"2019-08-13 16:01:33",38.867428,-77.18903
1565712099,"2019-08-13 16:01:39",38.867263,-77.190234
1565712104,"2019-08-13 16:01:44",38.86707,-77.191221
1565712110,"2019-08-13 16:01:50",38.866838,-77.192377
1565712115,"2019-08-13 16:01:55",38.86666,-77.193361
1565712120,"2019-08-13 16:02:00",38.866533,-77.194185
1565712201,"2019-08-13 16:03:21",38.866451,-77.194534
1565712207,"2019-08-13 16:03:27",38.866411,-77.194899
1565712212,"2019-08-13 16:03:32",38.866328,-77.195535
1565712217,"2019-08-13 16:03:37",38.866266,-77.196394
1565712222,"2019-08-13 16:03:42",38.866233,-77.197383
1565712228,"2019-08-13 16:03:48",38.86618,-77.198625
1565712234,"2019-08-13 16:03:54",38.866193,-77.199861
1565712239,"2019-08-13 16:03:59",38.866166,-77.200944
1565712244,"2019-08-13 16:04:04",38.866159,-77.202006
1565712249,"2019-08-13 16:04:09",38.86615,-77.203097
1565712255,"2019-08-13 16:04:15",38.866115,-77.204472
1565712261,"2019-08-13 16:04:21",38.866113,-77.205846
1565712267,"2019-08-13 16:04:27",38.866073,-77.207112
1565712272,"2019-08-13 16:04:32",38.866077,-77.208095
1565712278,"2019-08-13 16:04:38",38.866061,-77.209489
1565712283,"2019-08-13 16:04:43",38.866081,-77.210656
1565712288,"2019-08-13 16:04:48",38.866044,-77.211925
1565712294,"2019-08-13 16:04:54",38.866039,-77.213433
1565712299,"2019-08-13 16:04:59",38.866029,-77.21461
1565712304,"2019-08-13 16:05:04",38.866274,-77.21563
1565712310,"2019-08-13 16:05:10",38.866667,-77.216695
1565712315,"2019-08-13 16:05:15",38.867053,-77.217695
1565712321,"2019-08-13 16:05:21",38.867508,-77.218904
1565712327,"2019-08-13 16:05:27",38.868332,-77.219606
1565712332,"2019-08-13 16:05:32",38.869232,-77.219621
1565712338,"2019-08-13 16:05:38",38.870435,-77.219624
1565712343,"2019-08-13 16:05:43",38.871512,-77.219643
1565712349,"2019-08-13 16:05:49",38.872816,-77.219653
1565712355,"2019-08-13 16:05:55",38.874149,-77.219767
1565712361,"2019-08-13 16:06:01",38.875474,-77.220037
1565712366,"2019-08-13 16:06:06",38.876676,-77.220349
1565712372,"2019-08-13 16:06:12",38.878016,-77.220673
1565712377,"2019-08-13 16:06:17",38.879123,-77.220924
1565712383,"2019-08-13 16:06:23",38.880333,-77.221191
1565712388,"2019-08-13 16:06:28",38.88131,-77.221268
1565712394,"2019-08-13 16:06:34",38.88246,-77.221131
1565712399,"2019-08-13 16:06:39",38.883404,-77.22092
1565712405,"2019-08-13 16:06:45",38.884423,-77.220364
1565712410,"2019-08-13 16:06:50",38.885343,-77.219882
1565712415,"2019-08-13 16:06:55",38.886248,-77.219429
1565712421,"2019-08-13 16:07:01",38.887387,-77.218837
1565712427,"2019-08-13 16:07:07",38.888539,-77.218228
1565712433,"2019-08-13 16:07:13",38.889413,-77.217551
1565712439,"2019-08-13 16:07:19",38.889612,-77.2166
